,Date,Numbers of Stocks,declining,advancing,dec_vol,adv_vol,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,TRIM,future,mAvg,TRIM_Prev
0,2014-12-12,2519.0,2519.0,663.0,3378799862.0,713534163.0,2020.5,2031.0,1997.5,1997.5,33.7,1997.2,28520.0,126742.0,0.22020325220409545,1997.5,,
1,2014-12-15,2407.0,2407.0,778.0,3433819319.0,848258739.0,2013.5,2018.5,1982.0,1991.0,7.2,1990.0,18085.0,101988.0,0.2688328051525539,1991.0,,0.22020325220409545
2,2014-12-16,1833.0,1833.0,1335.0,2611648278.0,2256718211.0,1979.5,2016.0,1970.0,1971.2,18.4,1971.6,47088.0,88565.0,-0.17095276977130405,1971.2,,0.2688328051525539
3,2014-12-17,373.0,373.0,2833.0,320082388.0,216829319.0,1978.5,2015.5,1977.0,2013.0,42.6,2014.2,25866.0,70931.0,2.4169810096808084,2013.0,,-0.17095276977130405
4,2014-12-18,625.0,625.0,2570.0,509800139.0,4112184678.0,2040.5,2064.0,2033.0,2064.0,50.8,2065.0,19568.0,65445.0,-0.6737814253406841,2064.0,,2.4169810096808084
5,2014-12-19,1129.0,1129.0,2042.0,1765002255.0,3944460337.0,2060.7,2075.8,2057.0,2066.7,7.2,2067.1,13545.0,116027.0,-0.21156274565583613,2066.7,,-0.6737814253406841
6,2014-12-22,1342.0,1342.0,1837.0,1561648651.0,1731905041.0,2065.6,2076.0,2064.4,2072.5,5.3,2072.4,6048.0,118774.0,0.21049287603517616,2072.5,,-0.21156274565583613
7,2014-12-23,1153.0,1153.0,2033.0,949546550.0,2025055383.0,2072.9,2084.2,2071.5,2079.1,6.5,2078.9,10300.0,117799.0,-0.19022248058331784,2079.1,,0.21049287603517616
8,2014-12-24,1577.0,1577.0,1527.0,742866347.0,623306413.0,2078.2,2083.5,2077.0,2078.0,0.1,2078.8,833.0,120784.0,0.14325863133797712,2078.0,,-0.19022248058331784
9,2014-12-26,1041.0,1041.0,2084.0,511420000.0,1106866569.0,2081.4,2088.5,2081.4,2084.2,5.4,2084.2,1808.0,121097.0,-0.07798988688776842,2084.2,,0.14325863133797712
10,2014-12-29,1333.0,1333.0,1843.0,963006588.0,1413345448.0,2085.0,2088.7,2076.4,2085.6,1.6,2085.8,3368.0,122571.0,-0.059691940831935075,2085.6,,-0.07798988688776842
11,2014-12-30,1836.0,1836.0,1325.0,1428176841.0,879012763.0,2087.1,2088.2,2073.5,2076.5,9.1,2076.7,3885.0,122980.0,0.1591777232186377,2076.5,,-0.059691940831935075
12,2014-12-31,2044.0,2044.0,1140.0,1862212532.0,624636280.0,2077.9,2082.6,2051.3,2052.4,24.3,2052.4,4397.0,124030.0,0.5084706548346984,2052.4,,0.1591777232186377
13,2015-01-02,1423.0,1423.0,1744.0,1350022073.0,1305537329.0,2055.0,2067.0,2039.5,2046.0,6.1,2046.3,5704.0,123911.0,0.2369202466755764,2046.0,,0.5084706548346984
14,2015-01-05,2460.0,2460.0,750.0,3246235308.0,446597345.0,2043.7,2048.1,2010.0,2016.2,30.4,2015.9,11355.0,124285.0,0.7957504202619247,2016.2,,0.2369202466755764
15,2015-01-06,2136.0,2136.0,1041.0,3149157518.0,1242546742.0,2018.9,2023.2,1984.0,1994.9,21.5,1994.4,11845.0,125744.0,0.21121873339993624,1994.9,,0.7957504202619247
16,2015-01-07,761.0,761.0,2413.0,992721179.0,2733551484.0,1997.1,2024.0,1995.8,2020.0,25.2,2019.6,4685.0,122933.0,0.14108559325606704,2020.0,,0.21121873339993624
17,2015-01-08,741.0,741.0,2458.0,645366131.0,3144198704.0,2021.2,2058.3,2020.8,2054.5,35.4,2055.0,9723.0,123385.0,-0.3843938870323606,2054.5,,0.14108559325606704
18,2015-01-09,1980.0,1980.0,1171.0,2309180285.0,976268964.0,2054.1,2061.5,2031.5,2035.3,19.7,2035.3,8086.0,124611.0,0.33567099915335546,2035.3,,-0.3843938870323606
19,2015-01-12,1965.0,1965.0,1187.0,2290929353.0,1056742225.0,2035.6,2047.9,2015.5,2022.5,12.9,2022.4,8021.0,123082.0,0.2697036335759192,2022.5,,0.33567099915335546
20,2015-01-13,1661.0,1661.0,1488.0,2575239268.0,1424522213.0,2024.0,2051.0,2001.5,2017.0,6.3,2016.1,12928.0,125479.0,0.4821190868144912,2017.0,,0.2697036335759192
21,2015-01-14,1909.0,1909.0,1252.0,2895680576.0,1391532474.0,2016.7,2019.4,1982.0,2008.5,8.6,2007.5,9818.0,126150.0,0.3109772589147425,2008.5,0.22464853583694336,0.4821190868144912
22,2015-01-15,2052.0,2052.0,1109.0,2908077770.0,1229690471.0,2010.5,2026.9,1978.8,1989.2,18.4,1989.1,9088.0,126458.0,0.24537359571792156,1989.2,0.2257926423602991,0.3109772589147425
23,2015-01-16,584.0,584.0,2592.0,503589124.0,3469373061.0,1980.5,2014.2,1970.6,2013.4,23.8,2012.9,7029.0,126523.0,-0.43968440247821977,2013.4,0.1935873147407185,0.24537359571792156
24,2015-01-20,1943.0,1943.0,1223.0,2319648846.0,1550244525.0,2009.9,2026.0,1998.0,2016.7,3.9,2016.8,8479.0,127044.0,-0.05992317550398665,2016.7,0.198634114480142,-0.43968440247821977
25,2015-01-21,1144.0,1144.0,2006.0,956629059.0,2669086799.0,2016.0,2032.0,2005.5,2027.3,9.8,2026.6,4086.0,127917.0,-0.4644641652995341,2027.3,0.06765933379921735,-0.05992317550398665
26,2015-01-22,694.0,694.0,2466.0,779370521.0,3300936924.0,2026.0,2059.0,2020.0,2057.0,29.8,2056.4,9128.0,127452.0,-0.175594330798902,2057.0,0.09030420173293473,-0.4644641652995341
27,2015-01-23,1728.0,1728.0,1400.0,2354553735.0,1176855375.0,2054.6,2062.0,2042.5,2043.7,12.5,2043.9,5126.0,130166.0,0.4830128341632025,2043.7,0.12187581899743648,-0.175594330798902
28,2015-01-26,987.0,987.0,2154.0,894747400.0,2451747094.0,2035.5,2054.7,2025.9,2053.7,9.7,2053.6,4266.0,127021.0,-0.2276028869107583,2053.7,0.10196237522716672,0.4830128341632025
29,2015-01-27,1760.0,1760.0,1381.0,2070332372.0,1170280082.0,2054.2,2054.5,2013.0,2029.5,23.6,2030.0,7573.0,126318.0,0.3279601194624606,2029.5,0.12551612977470208,-0.2276028869107583
30,2015-01-28,2348.0,2348.0,843.0,3600490074.0,414223407.0,2036.0,2046.3,1991.5,1992.0,38.4,1991.6,8724.0,129787.0,1.1380675651877088,1992.0,0.17073471767696266,0.3279601194624606
31,2015-01-29,1036.0,1036.0,2128.0,1639750994.0,2378716460.0,1994.3,2019.5,1982.5,2019.0,26.9,2018.5,13543.0,132774.0,0.3477987853371343,2019.0,0.19008874823264002,1.1380675651877088
32,2015-01-30,2164.0,2164.0,1019.0,3231706956.0,1244819679.0,2018.6,2020.1,1986.0,1991.0,30.1,1988.4,9209.0,137393.0,0.20088317696768831,1991.0,0.20193307176898656,0.3477987853371343
33,2015-02-02,864.0,864.0,2308.0,725976944.0,3182751868.0,1991.0,2018.2,1974.0,2016.8,28.7,2017.1,6890.0,137524.0,-0.4954193532867242,2016.8,0.172178659200561,0.20088317696768831
34,2015-02-03,657.0,657.0,2534.0,545446267.0,4027951477.0,2015.0,2044.0,2007.4,2041.8,25.0,2042.1,5000.0,139855.0,-0.6495385668144148,2041.8,0.1195418763983286,-0.4954193532867242
35,2015-02-04,2042.0,2042.0,1110.0,2621763877.0,1399283860.0,2040.2,2049.0,2023.3,2029.5,12.0,2030.1,5873.0,140306.0,0.018317045155191763,2029.5,0.1096053672383111,-0.6495385668144148
36,2015-02-05,779.0,779.0,2394.0,722667737.0,3004914240.0,2025.0,2058.5,2021.0,2054.5,25.0,2055.1,3898.0,141244.0,-0.30234491223450105,2054.5,0.059691943033928115,0.018317045155191763
37,2015-02-06,1998.0,1998.0,1181.0,2274248807.0,1883459070.0,2056.2,2067.5,2045.0,2053.2,2.0,2053.1,3464.0,141284.0,-0.33724535695333874,2053.2,0.03476175710877926,-0.30234491223450105
38,2015-02-09,1857.0,1857.0,1312.0,1956114522.0,1505631806.0,2047.8,2051.3,2037.0,2042.2,10.7,2042.4,4591.0,140471.0,-0.08566208762890483,2042.2,0.024455044341280537,-0.33724535695333874
39,2015-02-10,1362.0,1362.0,1794.0,1403816727.0,2170393114.0,2043.8,2066.0,2040.9,2062.2,19.8,2062.2,6064.0,142293.0,-0.16021999300298034,2062.2,0.034644766797161455,-0.08566208762890483
40,2015-02-11,1700.0,1700.0,1457.0,1986304854.0,1488966953.0,2062.7,2079.0,2053.5,2065.5,3.5,2065.7,5628.0,142759.0,0.13394477213871475,2065.5,0.02547539284195051,-0.16021999300298034
41,2015-02-12,733.0,733.0,2435.0,618533487.0,3081229943.0,2071.8,2085.0,2059.0,2084.0,18.4,2084.1,3676.0,143860.0,-0.40517646212196745,2084.0,-0.005200975144317065,0.13394477213871475
42,2015-02-13,1182.0,1182.0,1968.0,1181960709.0,2259929064.0,2082.4,2094.9,2082.0,2093.0,9.4,2093.5,3076.0,143388.0,-0.1383488682201614,2093.0,-0.03340406400952855,-0.40517646212196745
43,2015-02-17,1807.0,1807.0,1378.0,1415827135.0,1845753240.0,2091.0,2098.3,2081.0,2096.0,2.4,2095.9,3675.0,141752.0,-0.5362083853412896,2096.0,-0.07191250238480272,-0.1383488682201614
44,2015-02-18,1432.0,1432.0,1733.0,1657907859.0,1630920368.0,2096.4,2098.2,2088.8,2095.5,0.5,2095.4,3855.0,140449.0,0.20719392536860984,2095.5,-0.07364794194613507,-0.5362083853412896
45,2015-02-19,1635.0,1635.0,1499.0,1901336889.0,1264996627.0,2095.2,2099.0,2087.7,2095.3,0.1,2095.3,7368.0,140573.0,0.3206432235317778,2095.3,-0.039087595309317,0.20719392536860984
